url,bairro,aluguel,condominio,iptu,seguro_incendio,taxa_serviço,total,metragem,quarto,banheiro,vaga_carro,andar,aceita_pet,mobilia,metro_prox
https://www.quintoandar.com.br/imovel/892838767?house_tags=rentPriceDecreased&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A960%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Jardim Paulista,R$ 2.700,R$ 1.090,R$ 143,R$ 35,R$ 54,R$ 4.022,66 m²,1 quarto,1 banheiro,1 vaga,13º andar,Aceita pet,Sem mobília,Metrô próx.
https://www.quintoandar.com.br/imovel/892979855?house_tags=rentPriceDecreased&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A962%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Bela Vista,R$ 1.190,R$ 225,R$ 42,R$ 16,R$ 23,R$ 1.496,45 m²,1 quarto,1 banheiro,Sem vaga,6º andar,Aceita pet,Sem mobília,Metrô próx.
https://www.quintoandar.com.br/imovel/893277874?house_tags=rentPriceDecreased&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A964%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Liberdade,R$ 1.955,R$ 360,R$ 40,R$ 25,R$ 39,R$ 2.419,38 m²,1 quarto,1 banheiro,Sem vaga,1º andar,Aceita pet,Mobiliado,Metrô próx.
https://www.quintoandar.com.br/imovel/893360719?house_tags=rentPriceDecreased&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A966%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Vila Nova Conceição,R$ 2.850,R$ 863,R$ 203,R$ 37,R$ 57,R$ 4.010,São Paulo,São Paulo,São Paulo,São Paulo,São Paulo,54 m²,2 quartos,1 banheiro
https://www.quintoandar.com.br/imovel/893363382?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A506%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Parque da Mooca,R$ 1.550,R$ 740,R$ 5,R$ 20,R$ 31,R$ 2.346,57 m²,2 quartos,2 banheiros,1 vaga,7º andar,Aceita pet,Sem mobília,Não próx.
https://www.quintoandar.com.br/imovel/893198580?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A969%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Cambuci,R$ 1.428,R$ 351,R$ 0,R$ 19,R$ 28,R$ 1.826,35 m²,1 quarto,1 banheiro,Sem vaga,3º andar,Aceita pet,Sem mobília,Não próx.
