url,bairro,aluguel,condominio,iptu,seguro_incendio,taxa_serviço,total,metragem,quarto,banheiro,vaga_carro,andar,aceita_pet,mobilia,metro_prox
https://www.quintoandar.com.br/imovel/892796639?house_tags=rentPriceDecreased&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A914%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Bela Vista,R$ 1.130,R$ 411,R$ 41,R$ 15,R$ 22,R$ 1.619,49 m²,1 quarto,1 banheiro,Sem vaga,6º andar,Aceita pet,Sem mobília,Metrô próx.
https://www.quintoandar.com.br/imovel/893062514?house_tags=rentOnTermination&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A915%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Consolação,R$ 2.000,R$ 650,R$ 0,R$ 26,R$ 40,R$ 2.676,45 m²,1 quarto,1 banheiro,1 vaga,6º andar,Não aceita,Mobiliado,Metrô próx.
https://www.quintoandar.com.br/imovel/893153682?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A916%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Cambuci,R$ 2.200,R$ 0,R$ 281,R$ 37,R$ 44,R$ 2.562,60 m²,1 quarto,1 banheiro,1 vaga,-,Aceita pet,Sem mobília,Não próx.
https://www.quintoandar.com.br/imovel/893369111?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A917%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Liberdade,R$ 550,R$ 386,R$ 19,R$ 7,R$ 11,R$ 973,30 m²,1 quarto,1 banheiro,Sem vaga,7º andar,Aceita pet,Sem mobília,Metrô próx.
https://www.quintoandar.com.br/imovel/892877518?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A918%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Itaim Bibi,R$ 2.600,R$ 900,R$ 250,R$ 33,R$ 52,R$ 3.835,85 m²,2 quartos,2 banheiros,1 vaga,3º andar,Aceita pet,Sem mobília,Não próx.
https://www.quintoandar.com.br/imovel/893380594?house_tags=newAd&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A919%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Perdizes,R$ 2.400,R$ 645,R$ 80,R$ 31,R$ 48,R$ 3.204,39 m²,1 quarto,1 banheiro,1 vaga,3º andar,Aceita pet,Sem mobília,Não próx.
https://www.quintoandar.com.br/imovel/893274683?house_tags=rentPriceDecreased&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A920%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Mooca,R$ 2.100,R$ 0,R$ 0,R$ 35,R$ 42,R$ 2.177,106 m²,2 quartos,1 banheiro,Sem vaga,-,Não aceita,Sem mobília,Não próx.
https://www.quintoandar.com.br/imovel/893234982?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A921%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Aclimação,R$ 2.100,R$ 970,R$ 49,R$ 27,R$ 42,R$ 3.188,50 m²,1 quarto,1 banheiro,1 vaga,10º andar,Aceita pet,Mobiliado,Metrô próx.
https://www.quintoandar.com.br/imovel/893380137?house_tags=newAd&house_tags=rentPriceDecreased&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A922%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Pinheiros,R$ 2.800,R$ 850,R$ 71,R$ 36,R$ 56,R$ 3.813,50 m²,1 quarto,1 banheiro,1 vaga,14º andar,Aceita pet,Mobiliado,Metrô próx.
https://www.quintoandar.com.br/imovel/893219421?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A923%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Pinheiros,R$ 4.100,R$ 1.632,R$ 224,R$ 52,R$ 82,R$ 6.090,115 m²,3 quartos,3 banheiros,1 vaga,9º andar,Não aceita,Sem mobília,Metrô próx.
