url,bairro,aluguel,condominio,iptu,seguro_incendio,taxa_serviço,total,metragem,quarto,banheiro,vaga_carro,andar,aceita_pet,mobilia,metro_prox
https://www.quintoandar.com.br/imovel/893171502?house_tags=rentPriceDecreased&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2850%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Mooca,R$ 2.000,R$ 200,R$ 0,R$ 34,R$ 40,R$ 2.274,60 m²,1 quarto,1 banheiro,Sem vaga,-,Não aceita,Sem mobília,Metrô próx.
https://www.quintoandar.com.br/imovel/893287337?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2851%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Bela Vista,R$ 950,R$ 386,R$ 0,R$ 13,R$ 19,R$ 1.368,28 m²,1 quarto,1 banheiro,Sem vaga,7º andar,Não aceita,Sem mobília,Metrô próx.
https://www.quintoandar.com.br/imovel/892802749?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2852%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Vila Nova Conceição,R$ 4.400,R$ 1.209,R$ 165,R$ 56,R$ 88,R$ 5.918,90 m²,3 quartos,3 banheiros,1 vaga,3º andar,Aceita pet,Sem mobília,Não próx.
https://www.quintoandar.com.br/imovel/893354707?house_tags=rentPriceDecreased&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2853%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Itaim Bibi,R$ 4.360,R$ 1.000,R$ 0,R$ 56,R$ 87,R$ 5.503,44 m²,1 quarto,1 banheiro,1 vaga,5º andar,Aceita pet,Mobiliado,Não próx.
https://www.quintoandar.com.br/imovel/893329552?house_tags=rentPriceDecreased&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2854%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Itaim Bibi,R$ 5.220,R$ 2.591,R$ 668,R$ 67,R$ 104,R$ 8.650,78 m²,1 quarto,2 banheiros,1 vaga,22º andar,Não aceita,Mobiliado,Não próx.
https://www.quintoandar.com.br/imovel/892795817?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2855%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Jardim Paulista,R$ 4.400,R$ 1.200,R$ 450,R$ 56,R$ 88,R$ 6.194,98 m²,3 quartos,2 banheiros,1 vaga,7º andar,Aceita pet,Sem mobília,Metrô próx.
https://www.quintoandar.com.br/imovel/892926140?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2856%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Consolação,R$ 2.500,R$ 152,R$ 0,R$ 32,R$ 50,R$ 2.734,42 m²,1 quarto,1 banheiro,Sem vaga,4º andar,Aceita pet,Sem mobília,Metrô próx.
https://www.quintoandar.com.br/imovel/893184725?house_tags=rentPriceDecreased&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2857%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Vila Mariana,R$ 2.900,R$ 1.647,R$ 510,R$ 37,R$ 58,R$ 5.152,117 m²,4 quartos,4 banheiros,2 vagas,1º andar,Aceita pet,Sem mobília,Metrô próx.
https://www.quintoandar.com.br/imovel/892778636?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2858%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Itaim Bibi,R$ 3.300,R$ 900,R$ 182,R$ 42,R$ 66,R$ 4.490,115 m²,3 quartos,2 banheiros,1 vaga,9º andar,Aceita pet,Sem mobília,Não próx.
https://www.quintoandar.com.br/imovel/893297690?house_tags=rentPriceDecreased&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2859%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Belém,R$ 1.200,R$ 300,R$ 20,R$ 20,R$ 24,R$ 1.564,30 m²,1 quarto,1 banheiro,Sem vaga,-,Aceita pet,Sem mobília,Não próx.
https://www.quintoandar.com.br/imovel/893283184?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2860%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Higienópolis,R$ 3.600,R$ 1.481,R$ 284,R$ 46,R$ 72,R$ 5.483,125 m²,2 quartos,1 banheiro,1 vaga,4º andar,Aceita pet,Sem mobília,Não próx.
https://www.quintoandar.com.br/imovel/893217311?house_tags=rentPriceDecreased&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2861%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Perdizes,R$ 2.240,R$ 750,R$ 0,R$ 29,R$ 44,R$ 3.063,100 m²,3 quartos,2 banheiros,Sem vaga,1º andar,Não aceita,Mobiliado,Não próx.
https://www.quintoandar.com.br/imovel/893343295?house_tags=rentPriceDecreased&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2862%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Consolação,R$ 1.510,R$ 309,R$ 0,R$ 20,R$ 30,R$ 1.869,29 m²,1 quarto,1 banheiro,Sem vaga,14º andar,Aceita pet,Sem mobília,Metrô próx.
https://www.quintoandar.com.br/imovel/893006356?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2863%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Jardim Paulista,R$ 8.768,R$ 1.380,R$ 0,R$ 112,R$ 175,R$ 10.440,114 m²,2 quartos,2 banheiros,1 vaga,6º andar,Aceita pet,Sem mobília,Metrô próx.
https://www.quintoandar.com.br/imovel/892800363?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2864%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Jardim Paulista,R$ 1.360,R$ 1.800,R$ 250,R$ 18,R$ 27,R$ 3.455,42 m²,1 quarto,1 banheiro,1 vaga,11º andar,Não aceita,Sem mobília,Metrô próx.
https://www.quintoandar.com.br/imovel/892783422?house_tags=rentPriceDecreased&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2865%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Jardim Paulista,R$ 2.200,R$ 848,R$ 117,R$ 28,R$ 44,R$ 3.237,36 m²,1 quarto,1 banheiro,1 vaga,7º andar,Não aceita,Mobiliado,Não próx.
https://www.quintoandar.com.br/imovel/893318842?house_tags=rentPriceDecreased&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2866%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Centro,R$ 1.062,R$ 280,R$ 0,R$ 14,R$ 21,R$ 1.377,35 m²,1 quarto,1 banheiro,Sem vaga,8º andar,Aceita pet,Sem mobília,Metrô próx.
https://www.quintoandar.com.br/imovel/892923009?house_tags=rentOnTermination&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2867%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Vila Nova Conceição,R$ 2.800,R$ 1.472,R$ 205,R$ 36,R$ 56,R$ 4.569,Recém-reformado,75 m²,2 quartos,1 banheiro,1 vaga,3º andar,Aceita pet,Sem mobília
https://www.quintoandar.com.br/imovel/892910619?house_tags=rentPriceDecreased&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2868%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Centro,R$ 1.171,R$ 120,R$ 0,R$ 15,R$ 23,R$ 1.329,29 m²,1 quarto,1 banheiro,Sem vaga,18º andar,Não aceita,Sem mobília,Metrô próx.
https://www.quintoandar.com.br/imovel/892836413?house_tags=rentPriceDecreased&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2869%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Santa Cecília,R$ 2.400,R$ 800,R$ 0,R$ 31,R$ 48,R$ 3.279,96 m²,2 quartos,1 banheiro,1 vaga,4º andar,Não aceita,Sem mobília,Metrô próx.
https://www.quintoandar.com.br/imovel/893260185?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2870%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Barra Funda,R$ 1.500,R$ 60,R$ 184,R$ 20,R$ 30,R$ 1.794,25 m²,1 quarto,1 banheiro,Sem vaga,1º andar,Não aceita,Mobiliado,Metrô próx.
https://www.quintoandar.com.br/imovel/893250275?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2871%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Vila Olímpia,R$ 8.999,R$ 2.300,R$ 616,R$ 115,R$ 179,R$ 12.210,128 m²,3 quartos,3 banheiros,2 vagas,2º andar,Aceita pet,Sem mobília,Não próx.
https://www.quintoandar.com.br/imovel/893187666?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2872%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Santa Cecília,R$ 2.400,R$ 800,R$ 0,R$ 31,R$ 48,R$ 3.279,65 m²,2 quartos,2 banheiros,1 vaga,12º andar,Aceita pet,Mobiliado,Metrô próx.
