url,bairro,aluguel,condominio,iptu,seguro_incendio,taxa_serviço,total,metragem,quarto,banheiro,vaga_carro,andar,aceita_pet,mobilia,metro_prox
https://www.quintoandar.com.br/imovel/893035463?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2260%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Santa Cecília,R$ 1.888,R$ 399,R$ 59,R$ 24,R$ 37,R$ 2.407,29 m²,1 quarto,1 banheiro,Sem vaga,9º andar,Não aceita,Mobiliado,Metrô próx.
https://www.quintoandar.com.br/imovel/893274389?house_tags=rentPriceDecreased&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2261%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Bela Vista,R$ 2.560,R$ 0,R$ 150,R$ 43,R$ 51,R$ 2.804,100 m²,4 quartos,2 banheiros,Sem vaga,-,Aceita pet,Sem mobília,Metrô próx.
https://www.quintoandar.com.br/imovel/892934441?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2262%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Jardim Paulista,R$ 1.100,R$ 280,R$ 134,R$ 14,R$ 22,R$ 1.550,18 m²,1 quarto,1 banheiro,Sem vaga,1º andar,Não aceita,Mobiliado,Metrô próx.
https://www.quintoandar.com.br/imovel/892859382?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2263%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Santa Cecília,R$ 950,R$ 360,R$ 5,R$ 13,R$ 19,R$ 1.347,45 m²,1 quarto,1 banheiro,1 vaga,23º andar,Aceita pet,Sem mobília,Metrô próx.
https://www.quintoandar.com.br/imovel/892884058?house_tags=rentPriceDecreased&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2264%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mooca,R$ 1.120,R$ 685,R$ 0,R$ 15,R$ 22,R$ 1.842,50 m²,1 quarto,2 banheiros,1 vaga,9º andar,Aceita pet,Sem mobília,Metrô próx.
https://www.quintoandar.com.br/imovel/893236570?house_tags=newAd&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2265%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Brás,R$ 1.800,R$ 300,R$ 18,R$ 23,R$ 36,R$ 2.177,45 m²,2 quartos,1 banheiro,Sem vaga,2º andar,Aceita pet,Sem mobília,Metrô próx.
https://www.quintoandar.com.br/imovel/893304109?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2266%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Jardim Paulista,R$ 9.000,R$ 2.480,R$ 496,R$ 115,R$ 180,R$ 12.270,160 m²,3 quartos,4 banheiros,1 vaga,7º andar,Aceita pet,Sem mobília,Metrô próx.
https://www.quintoandar.com.br/imovel/892990489?house_tags=rentPriceDecreased&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2267%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Vila Clementino,R$ 3.500,R$ 656,R$ 50,R$ 45,R$ 70,R$ 4.321,100 m²,2 quartos,1 banheiro,1 vaga,1º andar,Não aceita,Mobiliado,Metrô próx.
https://www.quintoandar.com.br/imovel/893241674?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2268%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Higienópolis,R$ 1.100,R$ 500,R$ 0,R$ 14,R$ 22,R$ 1.636,34 m²,1 quarto,1 banheiro,Sem vaga,4º andar,Aceita pet,Sem mobília,Metrô próx.
https://www.quintoandar.com.br/imovel/892795840?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2269%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Casa Verde,R$ 1.600,R$ 220,R$ 85,R$ 21,R$ 32,R$ 1.958,60 m²,2 quartos,1 banheiro,Sem vaga,2º andar,Não aceita,Sem mobília,Não próx.
https://www.quintoandar.com.br/imovel/893006959?house_tags=rentPriceDecreased&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2270%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Santa Cecília,R$ 2.950,R$ 500,R$ 69,R$ 38,R$ 59,R$ 3.616,50 m²,1 quarto,1 banheiro,1 vaga,18º andar,Aceita pet,Mobiliado,Metrô próx.
https://www.quintoandar.com.br/imovel/893366836?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2271%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Vila Mariana,R$ 3.500,R$ 1.450,R$ 434,R$ 45,R$ 70,R$ 5.499,89 m²,2 quartos,2 banheiros,2 vagas,5º andar,Aceita pet,Sem mobília,Metrô próx.
https://www.quintoandar.com.br/imovel/892932596?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2272%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Pinheiros,R$ 2.550,R$ 1.180,R$ 141,R$ 33,R$ 51,R$ 3.955,60 m²,2 quartos,2 banheiros,1 vaga,2º andar,Não aceita,Mobiliado,Metrô próx.
https://www.quintoandar.com.br/imovel/893338686?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2273%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Vila Olímpia,R$ 5.900,R$ 930,R$ 290,R$ 75,R$ 118,R$ 7.313,75 m²,1 quarto,1 banheiro,1 vaga,9º andar,Aceita pet,Mobiliado,Não próx.
